,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
456,NASDAQ,CLBT,Cellebrite DI Ltd.,cellebrite-di-ltd,stock,['common'],4092543514.09994,USD,17.09,100,1,false,0,USD,2.8898254063817004,2384702,,-0.7664,-45.75884366679344,0.0,1.1697392386729095,1.0,Technology services,Technology Services,america
457,NASDAQ,DMRC,Digimarc Corporation,digimarc,stock,['common'],186026238.13669065,USD,8.58,100,1,false,0,USD,2.8776978417266212,130824,,-1.8298,7.655816300782233,0.0,0.6314000174713207,1.5,Technology services,Technology Services,america
458,NASDAQ,INO,"Inovio Pharmaceuticals, Inc.",inovio,stock,['common'],152519437.9032258,USD,2.87,100,1,false,0,USD,2.8673835125448055,2210959,,-2.6071,48.9414621726954,0.0,0.8562724826526089,1.333333,Health technology,Health Technology,america
459,NASDAQ,SATL,Satellogic Inc.,satellogic,stock,['common'],380045958.17142856,USD,3.6,100,1,false,0,USD,2.85714285714286,1014805,,-1.2754,-1121.647509578544,0.0,0.7833135884940848,,Electronic technology,Electronic Technology,america
460,NASDAQ,SIGA,SIGA Technologies Inc.,siga-technologies,stock,['common'],620107989.8266034,USD,8.66,100,1,false,0,USD,2.8503562945368195,572054,7.540926506443747,1.1484,-2.677966101694903,0.0,1.106482290991299,,Health technology,Health Technology,america
461,NASDAQ,BYND,"Beyond Meat, Inc.",beyond-meat,stock,['common'],193914682.36585364,USD,2.53,100,1,false,0,USD,2.8455284552845463,2069911,,-2.1332,56.185429375397945,0.0,0.9595941122522119,2.5,Consumer non-durables,Consumer Non-Durables,america
462,NASDAQ,TWIN,"Twin Disc, Incorporated",twin-disc-incorporated,stock,['common'],189437189.81950843,USD,13.39,100,1,false,0,USD,2.8417818740399463,60046,,-0.1393,-117.68664296597258,1.22887864823349,1.1573726949787302,1.0,Producer manufacturing,Producer Manufacturing,america
463,NASDAQ,SNDK,Sandisk Corporation,sandisk,stock,['common'],10278562140.813349,USD,70.495,100,1,false,0,USD,2.837345003646984,5869086,,,,0.0,1.5304131718637675,1.444444,Electronic technology,Electronic Technology,america
464,NASDAQ,BTDR,Bitdeer Technologies Group,bitdeer,stock,['common'],2498676298.8421054,USD,12.7,100,1,false,0,USD,2.8340080971659893,2470138,,-2.534,-76.9058922088802,0.0,0.6376932922389215,1.0,Technology services,Technology Services,america
465,NASDAQ,MLTX,MoonLake Immunotherapeutics,moonlake-immunotherapeutics,stock,['common'],3925781748.5060563,USD,61.12,100,1,false,0,USD,2.8263795423956926,593468,,-2.79,-208.4577114427861,0.0,0.8781405204169431,1.055556,Health technology,Health Technology,america
466,NASDAQ,CRMD,CorMedix Inc.,cormedix,stock,['common'],951774650.2620969,USD,12.75,100,1,false,0,USD,2.8225806451612874,4510361,17.075130574527922,0.7467,,0.0,0.760595106061726,1.166667,Health technology,Health Technology,america
467,NASDAQ,VRM,"Vroom, Inc.",vroom,stock,['common'],144080054.36808905,USD,27.71,100,1,false,0,USD,2.8200371057513975,666,,-36.3305,79.52179858475198,0.0,0.17896971488458333,,Retail trade,Retail Trade,america
468,NASDAQ,RUM,Rumble Inc.,rumble,stock,['common'],3177429262.142053,USD,7.31,100,1,false,0,USD,2.812939521800271,1768704,,-1.4337,-125.99306431273645,0.0,0.9614861181168918,1.5,Technology services,Technology Services,america
469,NYSE,WRBY,Warby Parker Inc.,warby-parker,stock,['common'],3262389565.5553417,USD,26.75,100,1,false,0,USD,2.8055342044581106,2488043,,-0.0768,80.15503875968993,0.0,2.0868615964131427,1.5,Retail trade,Retail Trade,america
470,NASDAQ,BRZE,"Braze, Inc.",braze,stock,['common'],3585979829.675366,USD,32.3,100,1,false,0,USD,2.8007638446848993,4359637,,-1.0437,11.648184203843218,0.0,1.6803352378332925,1.05,Technology services,Technology Services,america
471,NYSE,NOW,"ServiceNow, Inc.",servicenow,stock,['common'],195380637390.0647,USD,939.33,100,1,false,0,USD,2.7938279711096614,1636381,118.22758681451461,7.9451,43.675292500768556,0.0,1.0020193091191367,1.2,Technology services,Technology Services,america
472,NASDAQ,NAOV,"NanoVibronix, Inc.",nanovibronix,stock,['common'],4255712.743022136,USD,5.34,100,1,false,0,USD,2.7911453320500397,33497,,-134.4208,6.075302814859315,0.0,0.16600119828909293,,Health technology,Health Technology,america
473,NASDAQ,CVLT,"Commvault Systems, Inc.",commvault-systems,stock,['common'],8178799031.8089075,USD,183.96,100,1,false,0,USD,2.7881767894060507,850674,102.53609051892315,1.7941,-53.90524639021632,0.0,1.2021074759606485,1.416667,Technology services,Technology Services,america
474,NASDAQ,ADBE,Adobe Inc.,adobe,stock,['common'],152143576910.6728,USD,358.66,100,1,false,0,USD,2.776742986503137,5043305,22.935451278312808,15.6378,40.438257745846435,0.0,1.439821142947293,1.404762,Technology services,Technology Services,america
475,NYSE,LAC,Lithium Americas Corp.,lithium-americas,stock,['common'],717738590.8054863,USD,2.97,100,1,false,0,USD,2.7681660899654004,8082877,,-0.24,-45.19056261343012,0.0,1.4437341466808322,1.576923,Process industries,Process Industries,america
476,NASDAQ,CRDF,"Cardiff Oncology, Inc.",cardiff-oncology,stock,['common'],148352647.04147467,USD,2.23,100,1,false,0,USD,2.7649769585253483,1825578,,-0.8783,3.926930649748418,0.0,1.4430823776301829,1.125,Health technology,Health Technology,america
477,NASDAQ,MDWD,MediWound Ltd.,mediwound-ltd,stock,['common'],180921341.93370163,USD,16.74,100,1,false,0,USD,2.762430939226515,117162,,-2.6367,-22.046843177189395,0.0,0.9722898795114733,1.0,Health technology,Health Technology,america
478,NASDAQ,VRNS,"Varonis Systems, Inc.",varonis-systems,stock,['common'],6450552068.962519,USD,57.57,100,1,false,0,USD,2.748527574513652,1744514,,-0.9162,-14.424878231547403,0.0,1.2448658171010294,1.26087,Technology services,Technology Services,america
479,NYSE,HOG,"Harley-Davidson, Inc.",harley-davidson,stock,['common'],3771784520.396689,USD,31.03,100,1,false,0,USD,2.7483443708609334,2302547,16.072723505645914,1.9306,-60.618485200824104,2.33443708609272,1.4125321217971067,1.735294,Consumer durables,Consumer Durables,america
480,NASDAQ,CDNS,"Cadence Design Systems, Inc.",cadence-design-systems,stock,['common'],98270792811.95728,USD,360.64,100,1,false,0,USD,2.743511580866641,1773447,97.58103793495319,3.6958,-4.427204551331776,0.0,1.5078978884122216,1.403846,Technology services,Technology Services,america
481,NYSE,FUBO,fuboTV Inc.,fubotv,stock,['common'],1410831515.7306736,USD,4.12,100,1,false,0,USD,2.743142144638412,19061462,16.48,0.25,,0.0,1.5232042326039585,1.714286,Technology services,Technology Services,america
482,NASDAQ,OPBK,OP Bancorp,op-bancorp,stock,['common'],218074254.71598879,USD,14.65,100,1,false,0,USD,2.734922861150074,46633,9.88128962633212,1.4826,8.203182017223751,3.36605890603086,1.0096410949235404,1.5,Finance,Finance,america
483,NYSE,KORE,"KORE Group Holdings, Inc.",kore,stock,['common'],40583927.24052426,USD,2.32,100,1,false,0,USD,2.727594757350331,3803,,-4.1228,68.22014954135513,0.0,0.3629024562474944,1.5,Technology services,Technology Services,america
