,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
137,NASDAQ,BCG,"Binah Capital Group, Inc.",binah-capital,stock,['common'],20.606896551724134,1.45,100,1,false,0,USD,-14.956011730205285,71034,24073568.4457478,USD,,-0.1124,51.002615518744555,0.0,2.681479468188716,,Finance,Finance,america
138,NASDAQ,MB,MasterBeef Group,masterbeef,stock,['common'],20.53571428571429,10.5,100,1,false,0,USD,12.299465240641716,21014,180127500.0,USD,42.45855236554792,0.2473,,0.0,0.39901944588438804,,Consumer services,Consumer Services,america
139,NASDAQ,TRON,Tron Inc.,srm-entertainment,stock,['common'],20.469798657718115,3.005,100,1,false,0,USD,-16.295264623955433,3128605,100571370.05,USD,,-0.199,55.89539007092198,0.0,0.8113664040903216,,Consumer durables,Consumer Durables,america
140,NASDAQ,AREC,American Resources Corporation,american-res,stock,['common'],20.388349514563124,2.45,100,1,false,0,USD,20.68965517241381,5422155,207291862.93103454,USD,,-0.5406,-105.62951692658802,0.0,2.0952234444396014,1.0,Energy minerals,Energy Minerals,america
141,NASDAQ,RR,Richtech Robotics Inc.,richtech-robotics,stock,['common'],20.386904761904763,3.89,100,1,false,0,USD,18.41704718417047,74231504,583087579.4764079,USD,,-0.1531,-243.27354260089692,0.0,2.3555282983082395,1.666667,Consumer durables,Consumer Durables,america
142,AMEX,BQ,Boqii Holding Limited,boqii-limited,stock,['common'],20.261437908496735,3.07,100,1,false,0,USD,-16.576086956521745,69777,8590259.1,USD,,-0.3907,59.2256313921937,0.0,1.2454996403282206,,Retail trade,Retail Trade,america
143,NASDAQ,GMHS,Gamehaus Holdings Inc.,gamehaus,stock,['common'],20.143884892086334,1.4,100,1,false,0,USD,-16.167664670658684,284251,74997125.62874252,USD,,,,0.0,0.015267924927965863,,Finance,Finance,america
144,NASDAQ,MGIH,Millennium Group International Holdings Limited,millennium-international-limited,stock,['common'],20.11759764804704,2.72,100,1,false,0,USD,-2.857142857142844,728998,30600000.000000004,USD,,-0.975,-395.4268292682927,0.0,0.09318224661913686,,Process industries,Process Industries,america
145,NASDAQ,SMX,SMX (Security Matters) Public Limited Company,smx-security-matters-public-limited-company,stock,['common'],20.0,1.54,100,1,false,0,USD,14.074074074074069,4459844,2043481.8962962963,USD,,-712.4294,-101.43683900267837,0.0,0.2682272537828553,,Technology services,Technology Services,america
146,NASDAQ,ANIX,"Anixa Biosciences, Inc.",anixa-biosciences,stock,['common'],19.96699669966997,3.52,100,1,false,0,USD,19.931856899488924,586723,115867541.36967634,USD,,-0.3446,11.77675371223758,0.0,7.846575833440323,1.0,Health technology,Health Technology,america
147,NASDAQ,REKR,"Rekor Systems, Inc.",rekor-systems,stock,['common'],19.841269841269842,1.42,100,1,false,0,USD,18.333333333333332,7462354,179394329.7,USD,,-0.5389,19.746835443037966,0.0,5.015999081541676,1.0,Commercial services,Commercial Services,america
148,NASDAQ,MWYN,"Marwynn Holdings, Inc.",marwynn,stock,['common'],19.77868852459017,1.37,100,1,false,0,USD,15.126050420168081,1194443,23363986.85,USD,,,,0.0,0.11126320861872808,,Retail trade,Retail Trade,america
149,NASDAQ,ATLN,Atlantic International Corp.,atlantic-international,stock,['common'],19.736842105263158,4.13,100,1,false,0,USD,4.2929292929292915,107130,241090769.1111111,USD,,-1.8454,83.83213597336604,0.0,2.1296601847176566,,Health technology,Health Technology,america
150,NASDAQ,TGHL,The GrowHub Limited,,stock,['common'],19.67553191489361,1.88,100,1,false,0,USD,-3.092783505154642,330802,27948963.599999998,USD,,-0.0699,-33.90804597701149,0.0,1.1101021368330197,,Technology services,Technology Services,america
151,NASDAQ,LBGJ,Li Bang International Corporation Inc.,li-bang-international,stock,['common'],19.672131147540984,1.22,100,1,false,0,USD,-15.86206896551724,59083,22594400.0,USD,,-0.0551,38.913525498891346,0.0,1.3060768839666645,,Consumer durables,Consumer Durables,america
